# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2699
#@/user_id	6a2163fc-c90b-46e9-84eb-486cc8c8afe8
a 	啊	c=7 d=2.09373 t=2429
kao shi 	考試	c=2 d=1.06555 t=2681
ke fu 	客服	c=1 d=1 t=870
ke neng 	可能	c=7 d=1.82276 t=2423
ke qi 	客氣	c=0 d=0.1 t=537
ke yi 	可以	c=15 d=1.48108 t=2336
ke yi ba 	可以吧	c=1 d=1 t=21
ke zhi xing 	可執行	c=1 d=1 t=312
ken ding 	肯定	c=1 d=1 t=2428
kong ge 	空格	c=1 d=1 t=320
kong jing 	空淨	c=4 d=1.60258 t=2002
kong qi 	空氣	c=2 d=1.05156 t=1568
kong tiao 	空調	c=13 d=1.60416 t=2376
kong zhi 	控制	c=3 d=1.97263 t=2268
kuai 	快	c=2 d=1.98511 t=2126
kuai di 	快遞	c=1 d=1 t=1669
kuai su 	快速	c=1 d=1 t=688
kuan dai 	寬帶	c=1 d=1 t=935
kuang jia 	框架	c=1 d=1 t=2333
la 	啦	c=3 d=1.39374 t=2503
la zi 	辣子	c=0 d=0.1 t=2236
la zi mian 	辣子麪	c=1 d=1 t=2237
lai shuo 	來說	c=1 d=1 t=2554
lai zhe 	來着	c=1 d=1 t=714
lao po 	老婆	c=1 d=1 t=2153
le 	了	c=44 d=3.66799 t=2674
le yi 	了一	c=1 d=1 t=1181
lei xing 	類型	c=1 d=1 t=2568
li 	裏	c=1 d=1 t=1613
li bian 	裏邊	c=1 d=1 t=77
li ming 	李明	c=3 d=1.11261 t=2473
li xiong 	李兄	c=1 d=1 t=544
li zhi 	離職	c=1 d=1 t=369
li zong 	李總	c=2 d=1.67032 t=2159
lian 	連	c=1 d=1 t=1616
lian bu shang 	連不上	c=1 d=1 t=1607
lian shang 	連上	c=2 d=2.03124 t=470
liang 	兩	c=1 d=1 t=1405
liang ge 	兩個	c=3 d=1.11326 t=2068
liang tao 	兩套	c=1 d=1 t=882
liang tian 	兩天	c=1 d=1 t=283
liang zhen 	兩針	c=1 d=1 t=1420
liang zhong 	兩種	c=1 d=1 t=455
lin jian 	林建	c=2 d=1.47001 t=249
liu cheng 	劉成	c=1 d=1 t=911
liu cheng 	流程	c=1 d=1 t=522
liu yi 	留意	c=1 d=1 t=534
lou 	樓	c=3 d=2.88839 t=440
lu you qi 	路由器	c=1 d=1 t=2697
luo ji 	邏輯	c=1 d=1 t=1690
lv shi 	律師	c=1 d=1 t=2078
lv wang 	濾網	c=12 d=1.87199 t=2232
ma 	嘛	c=6 d=1.33444 t=2339
ma fan 	麻煩	c=4 d=1.03755 t=1646
ma shang 	馬上	c=1 d=1 t=2537
mai chong 	脈衝	c=1 d=1 t=1583
mao si 	貌似	c=2 d=1.72615 t=2012
me 	麼	c=38 d=2.49465 t=2646
mei 	沒	c=1 d=1.00063 t=1471
mei ci 	每次	c=5 d=2.79018 t=1445
mei fa 	沒法	c=1 d=1 t=774
mei ge 	每個	c=1 d=1 t=2519
mei li 	美麗	c=1 d=1 t=465
mei lian shang 	沒連上	c=2 d=1.96561 t=466
mei nian 	每年	c=1 d=1 t=2117
mei wen ti 	沒問題	c=1 d=1 t=1683
mei ye 	每頁	c=1 d=0.99005 t=2699
mei yong 	沒用	c=2 d=1.75578 t=1787
mei you 	沒有	c=32 d=5.1497 t=2641
mei zhou 	每週	c=1 d=1 t=2460
mei zuo 	沒做	c=1 d=1.00002 t=2307
mei zuo wan 	沒做完	c=1 d=1 t=603
men 	們	c=1 d=1 t=445
mi ma 	密碼	c=1 d=1 t=946
mian 	麪	c=1 d=1.09501 t=2236
mian ban 	面板	c=2 d=1.93239 t=2189
mian tan 	面癱	c=1 d=1 t=1693
mian yang 	綿陽	c=4 d=1.78517 t=2324
ming ling 	命令	c=1 d=1 t=1450
ming nian 	明年	c=1 d=1 t=2113
ming tian 	明天	c=2 d=1.03858 t=2051
mo kuai 	模塊	c=17 d=3.22723 t=1637
mo shi 	模式	c=0 d=0.1 t=1432
mo shi xia 	模式下	c=1 d=1 t=1433
mo suo 	摸索	c=1 d=1 t=2217
mou ge 	某個	c=1 d=1 t=198
mu qian 	目前	c=7 d=1.02704 t=2013
na 	哪	c=0 d=0.1 t=2092
na 	那	c=22 d=2.77818 t=2432
na bian 	那邊	c=1 d=1 t=1994
na dao 	拿到	c=1 d=1 t=287
na ge 	哪個	c=5 d=1.06854 t=2441
na ge 	那個	c=25 d=4.74638 t=2439
na ge qun 	哪個羣	c=1 d=1 t=226
na kuai 	那塊	c=1 d=1 t=2510
na lai 	哪來	c=1 d=1 t=1285
na li 	哪裏	c=1 d=1 t=792
na tai 	那臺	c=1 d=1 t=1566
na xing 	那行	c=1 d=1 t=2049
ne 	呢	c=3 d=1.26442 t=2395
neng 	能	c=6 d=2.15712 t=2638
neng fou 	能否	c=2 d=1.00014 t=2185
ni 	你	c=37 d=6.38876 t=2542
ni 	尼	c=0 d=0.1 t=2168
ni gei 	你給	c=1 d=1 t=1832
ni hao 	你好	c=7 d=1.41083 t=1511
ni hui 	你會	c=1 d=1 t=1975
ni hun 	你混	c=1 d=1 t=2163
ni kan 	你看	c=1 d=1 t=1879
ni ke yi 	你可以	c=1 d=1 t=1687
ni men 	你們	c=12 d=4.68741 t=1559
ni ru guo 	你如果	c=1 d=1 t=1375
ni shao deng 	你稍等	c=2 d=1.03159 t=1428
ni shi 	你是	c=2 d=1.0195 t=1744
ni shi shuo 	你是說	c=1 d=1 t=449
ni xian zai 	你現在	c=2 d=1.54607 t=1818
ni zai 	你在	c=2 d=1.97045 t=797
ni zuo 	你做	c=1 d=1 t=2367
nian 	年	c=2 d=1.99501 t=2156
nong 	弄	c=6 d=1.03711 t=2354
nong cuo 	弄錯	c=1 d=1 t=1174
nong hao 	弄好	c=1 d=1 t=359
o 	哦	c=16 d=2.00461 t=2664
ou du 	歐度	c=2 d=1.0488 t=2192
ou ke 	歐克	c=1 d=1 t=1458
pa 	怕	c=1 d=1 t=44
pai ge 	拍個	c=1 d=1 t=1095
pan 	盼	c=1 d=1 t=420
pei bu shang 	配不上	c=1 d=1 t=2289
pei zhi 	配置	c=1 d=0.97531 t=2699
peng xiong 	彭兄	c=1 d=1 t=9
ping bi 	屏蔽	c=1 d=1 t=2544
ping tai 	平臺	c=3 d=1.40518 t=1256
po jie 	破解	c=2 d=1.92774 t=2698
qi 	起	c=2 d=1.00159 t=2031
qi dong 	啓動	c=1 d=1 t=867
qi guai 	奇怪	c=1 d=1 t=1059
qi shi 	其實	c=1 d=1 t=1350
qi ta 	其他	c=2 d=1.31674 t=1801
qi ta shi qing 	其他事情	c=1 d=1 t=428
qian hou 	前後	c=0 d=0.1 t=2579
qian hou duan 	前後端	c=1 d=1 t=2580
qian liang tian 	前兩天	c=1 d=1 t=631
qian zhao 	前兆	c=1 d=1 t=1694
qiang ge 	強哥	c=3 d=1.87173 t=1172
qiao 	敲	c=1 d=1 t=712
qing chu 	清楚	c=0 d=0.1 t=2495
qing jia 	請假	c=1 d=1 t=1398
qing kuang 	情況	c=2 d=1.46533 t=1336
qu 	去	c=1 d=0.10016 t=2094
qu fen 	區分	c=1 d=1 t=1918
qu guang dong 	去廣東	c=1 d=1 t=2095
qu le 	去了	c=1 d=1 t=1724
qu nian 	去年	c=1 d=1 t=920
quan 	全	c=1 d=1 t=1712
que ren 	確認	c=4 d=0.339181 t=1426
que ren xia 	確認下	c=1 d=1 t=1427
qun 	羣	c=1 d=1.09277 t=240
qun zhu 	羣主	c=1 d=1 t=252
ran hou 	然後	c=3 d=1.05639 t=1967
rang 	讓	c=2 d=1.05872 t=812
ren 	人	c=3 d=1.00041 t=2388
ren 	仁	c=1 d=1 t=2323
ren he 	任何	c=2 d=1.22537 t=2606
ren wu shu 	任務書	c=1 d=1 t=76
ren zheng 	認證	c=1 d=1 t=407
ru guo 	如果	c=2 d=0.601667 t=1374
ru he 	如何	c=2 d=1.74826 t=1973
ruan fu 	軟服	c=1 d=1 t=183
ruan jian 	軟件	c=3 d=1.02327 t=2526
san ge 	三個	c=3 d=2.10351 t=268
sao miao 	掃描	c=1 d=1 t=1618
shan 	山	c=1 d=1 t=1003
shan 	閃	c=1 d=1 t=469
shan chu 	刪除	c=1 d=1 t=201
shang 	上	c=5 d=1.09609 t=2410
shang bao 	上報	c=7 d=1.60007 t=2313
shang chuan 	上傳	c=1 d=1 t=2360
shang ci 	上次	c=1 d=1 t=385
shang lai 	上來	c=2 d=1.04984 t=890
shang xun 	上旬	c=1 d=1 t=680
shao deng 	稍等	c=2 d=1.01203 t=1949
shao lu 	燒錄	c=4 d=1.00018 t=2591
shao wan 	稍晚	c=1 d=1 t=1524
she bei 	設備	c=12 d=2.39794 t=2567
she bei duan 	設備端	c=1 d=1 t=152
she zhi 	設置	c=1 d=1 t=1796
shen ji ju 	審計局	c=1 d=1 t=2106
shen me 	什麼	c=12 d=1.87986 t=2584
shen me shi 	什麼事	c=1 d=1 t=50
shen qing 	申請	c=1 d=1 t=2245
sheng 	昇	c=0 d=0.1 t=1026
sheng bu shang qu 	昇不上去	c=1 d=1 t=1027
sheng chan 	生產	c=3 d=1.54691 t=1252
sheng ji 	升級	c=12 d=1.01201 t=2694
shi 	事	c=1 d=1 t=2087
shi 	市	c=1 d=1 t=2105
shi 	師	c=1 d=1 t=1469
shi 	是	c=74 d=6.57312 t=2616
shi bai 	失敗	c=1 d=1 t=392
shi bu shi 	是不是	c=5 d=1.42111 t=2265
shi cong 	是從	c=1 d=1 t=847
shi duo shao 	是多少	c=1 d=1 t=2248
shi hou 	時候	c=4 d=1.00744 t=2508
shi ji 	實際	c=2 d=1.30422 t=1501
shi jian 	時間	c=14 d=1.8392 t=2233
shi qing 	事情	c=4 d=1.74591 t=2558
shi yi 	事宜	c=1 d=1 t=378
shi yong 	使用	c=2 d=1.00148 t=1793
shi zhe yang 	是這樣	c=1 d=1 t=2617
shi zhong 	時鐘	c=1 d=1 t=948
shou bu qi 	受不起	c=1 d=1 t=984
shou chi 	手持	c=1 d=1 t=613
shou dao 	收到	c=2 d=1.00106 t=2257
shou fei 	收費	c=1 d=1.1 t=2586
shou ji 	收集	c=2 d=1.00117 t=1572
